txn_id,timestamp,invoice_no,exporter_iec,importer_iec,exporter_district,hs_code,goods_description,quantity,unit,weight_kg,declared_value_usd,actual_value_usd,benchmark_value_usd,declared_unit_price,benchmark_unit_price,origin_country,origin_risk_score,port_of_export,port_hs_mismatch,transshipment_flag,bol_weight,bol_number,packing_list,letter_of_credit,port_arrival_record,transit_port,abnormal_route_flag,further_shipment_records,transshipment_count,shared_address_flag,related_party_flag,repeat_shipment_count_30d,payment_terms,bank_name,ad_code,price_deviation_pct,weight_to_value_ratio,is_round_invoice,is_ghost_shipment,is_duplicate_invoice,description_specificity,suspicious_filing_hour,days_to_gst_period,benford_first_digit,exporter_iec_age_days,exporter_is_shell,exporter_turnover_cap_ratio,fraud_type,is_fraud
fa358330-4502-44f0-b30f-0da1a76e5c6d,2025-02-23 20:44:00,INV-XT8877,32623233681,77341593337,Tiruchirappalli,6204,Ameliorated even-keeled algorithm goods,710.98,LTR,1076.79,3623.18,3623.18,3623.18,5.0961,5.0961,KP,1.0,INNSA1,0,0,1076.79,BOL-6933uoMz,True,True,True,,0,1,3,0,0,0,DP,ICICI Bank,754686,0.0,0.297195,0,0,0,4,0,12,3,3285,0,1.1208346354479675,clean,0
c36c58e1-82c6-4b98-9973-292a1c39578a,2024-09-21 19:00:55,INV-de9095,62738732605,16138346920,Perambalur,7108,Reverse-engineered hybrid circuit goods,6970.24,LTR,26852.15,378544602.02,378544602.02,378544602.02,54308.6785,54308.6785,KP,1.0,INNSA1,0,0,26852.15,BOL-2909NqhU,True,True,True,,0,1,3,0,0,1,LC,Union Bank of India,479334,0.0,7.1e-05,0,0,0,4,0,10,3,730,0,0.8695554497631774,clean,0
ddcfb04a-7240-4e39-90f8-e7d909755822,2026-01-10 18:53:11,INV-uj3235,36542449174,27739858588,Chennai,2709,Diverse multimedia task-force goods,4768.45,PCS,5249.33,2931.49,2931.49,2931.49,0.6148,0.6148,PK,0.9,INNSA1,0,0,5249.33,BOL-6507alHV,True,,True,,0,0,3,0,0,1,CAD,Bank of Baroda,080625,0.0,1.790668,0,0,0,4,0,1,2,1095,0,1.6865637825892688,clean,0
9a7d6762-ff14-4a4a-92b4-2c426a964f5d,2025-08-06 21:45:39,INV-Gg8984,51067532816,79035789713,Kancheepuram,2601,Seamless interactive utilization goods,4556.9,MTR,12986.62,755.04,755.04,755.04,0.1657,0.1657,VN,0.4,INNSA1,0,0,12986.62,BOL-1466iPLH,True,True,True,,0,1,3,0,0,1,TT,Canara Bank,315264,0.0,17.19998,0,0,0,4,0,1,7,0,0,2.9728565606639243,clean,0
711243f7-b92d-4c34-9a26-4400a7d3d5ac,2024-09-06 07:45:30,INV-yw5684,12131322484,58466929961,Dindigul,0803,transform enterprise partnerships products,6980.61,PCS,15577.83,8367.19,2628.79,2628.79,1.1986,0.3766,KP,1.0,INNSA1,0,0,15577.83,BOL-8124oYLR,True,True,True,,0,0,2,0,0,4,DP,State Bank of India,771633,218.29,1.861776,0,0,0,4,0,1,8,3285,0,1.4033648560940188,over_invoicing,1
d6e2ab4f-9876-483c-960e-4c234a62d9a7,2024-11-07 22:30:01,INV-nn5247,56008728026,77469929753,Tiruppur,5201,mixed goods,8483.87,NOS,0.0,14476.4,14476.4,14476.4,1.7063,1.7063,CN,0.1,INITP6,0,0,0.0,,,True,,,0,1,4,0,0,0,CAD,Federal Bank,760231,0.0,0.0,0,1,0,2,0,0,1,2920,0,2.3708062077014036,ghost_shipment,1
24bbb415-9dd4-4fbd-904c-db85b9e9d061,2025-12-16 23:26:58,INV-XM9966,88361017467,17166270157,Coimbatore,6110,Ameliorated explicit neural-net goods,3475.93,LTR,7573.89,26308.72,26308.72,26308.72,7.5688,7.5688,IR,0.98,INICJ4,0,0,7573.89,BOL-9260SIIP,True,True,True,,0,0,1,0,0,1,CAD,City Union Bank,293923,0.0,0.287885,0,0,0,4,0,5,2,2190,0,1.9268391704614096,clean,0
c313ad26-36b2-4870-84f1-478832a99e4f,2025-05-02 04:00:06,INV-ch4222,63142425342,73367111452,Dharmapuri,0803,Automated executive ability goods,2669.71,NOS,7117.33,1272.77,1272.77,1272.77,0.4767,0.4767,JP,0.1,INNSA1,0,0,7117.33,BOL-2007SrkN,True,True,True,,0,1,0,0,0,1,CAD,Indian Overseas Bank,097383,0.0,5.592016,0,0,0,4,1,5,1,4745,0,1.0378321918996116,clean,0
ee4e53ce-af4e-4d72-a5c6-6d439db959c8,2025-03-23 16:45:55,INV-EW6750,99824239790,56407748660,Dindigul,8471,Re-contextualized multi-tasking superstructure goods,6757.01,KG,15093.93,510901.3,510901.3,510901.3,75.6105,75.6105,US,0.1,INNSA1,0,0,15093.93,BOL-7372nbRX,True,True,True,,0,1,0,0,0,2,DP,ICICI Bank,244669,0.0,0.029544,0,0,0,4,0,12,5,4380,0,2.240779741259416,clean,0
f8f49f5a-8c6e-4f94-b169-1781d8997729,2025-04-02 17:44:54,INV-yt8931,28646424067,59343162145,Dharmapuri,6110,De-engineered maximized middleware goods,3004.7,NOS,2461.18,18069.77,18069.77,18069.77,6.0138,6.0138,PK,0.9,INNSA1,0,0,2461.18,BOL-0531NanX,True,,True,,0,1,3,0,0,1,CAD,Federal Bank,980767,0.0,0.136204,0,0,0,4,0,5,1,4745,0,1.4250782222580187,clean,0
